File Name,LL_LL,LL_LH,LL_HL,LL_HH,LH_LL,LH_LH,LH_HL,LH_HH,HL_LL,HL_LH,HL_HL,HL_HH,HH_LL,HH_LH,HH_HL,HH_HH
0464.png,119.28125,106.484375,114.296875,98.25,107.296875,103.4375,71.96875,93.25,103.71875,72.265625,92.078125,82.734375,70.0,66.453125,85.640625,89.6875
0656.png,105.5625,107.109375,113.578125,93.046875,127.953125,109.75,80.375,99.359375,106.125,94.09375,89.5625,98.34375,115.75,92.09375,88.453125,92.171875
0692.png,112.125,138.34375,100.296875,83.765625,129.75,118.953125,85.9375,85.6875,93.265625,85.734375,97.703125,106.078125,85.828125,89.734375,82.234375,81.1875
0211.png,79.65625,126.109375,125.765625,75.484375,110.8125,89.390625,80.15625,76.3125,125.03125,74.421875,113.75,101.84375,67.890625,64.484375,56.421875,78.515625
0004.png,137.265625,65.296875,96.109375,104.078125,78.25,128.296875,88.0625,88.296875,82.140625,101.75,89.234375,96.890625,103.671875,104.0,92.015625,104.421875
0609.png,142.921875,98.140625,120.609375,97.328125,107.671875,118.65625,95.9375,99.875,112.09375,84.109375,93.3125,90.921875,73.84375,74.234375,77.71875,77.25
0827.png,117.59375,87.703125,102.84375,52.734375,54.234375,63.390625,57.65625,70.46875,93.578125,69.9375,79.046875,74.03125,49.9375,45.75,37.90625,37.5
0120.png,141.265625,138.40625,84.6875,102.203125,117.015625,111.8125,99.859375,100.1875,103.09375,88.09375,97.078125,107.703125,63.921875,47.9375,60.21875,71.609375
0848.png,161.078125,86.65625,121.3125,90.84375,89.3125,134.265625,111.453125,104.875,94.9375,99.890625,115.75,100.21875,99.890625,85.046875,99.890625,96.03125
0994.png,110.640625,88.53125,86.53125,90.21875,120.21875,130.78125,104.234375,137.09375,117.375,104.203125,99.953125,99.1875,109.890625,105.671875,98.328125,110.578125
0261.png,129.875,72.703125,87.421875,45.765625,54.0,60.578125,37.96875,25.921875,71.984375,56.078125,71.0,56.28125,35.921875,31.828125,28.03125,35.71875
0154.png,101.71875,78.453125,99.953125,85.5625,93.4375,107.765625,102.40625,84.703125,76.390625,82.234375,86.171875,87.796875,83.703125,83.5625,76.421875,99.515625
0838.png,182.265625,90.640625,101.359375,102.25,85.375,89.59375,98.140625,78.0625,100.015625,88.09375,103.28125,83.5,69.875,66.28125,65.96875,54.0625
0223.png,163.53125,87.078125,93.484375,102.6875,92.03125,94.734375,91.734375,100.1875,111.59375,95.984375,100.4375,87.703125,103.6875,83.90625,95.3125,75.875
0241.png,166.390625,91.78125,56.796875,64.3125,55.703125,68.328125,59.96875,58.96875,48.15625,64.125,58.4375,47.21875,59.953125,51.96875,47.796875,43.984375
0512.png,84.40625,64.9375,76.921875,56.21875,57.875,69.1875,61.6875,53.734375,57.734375,66.203125,69.546875,62.0,67.859375,71.640625,64.0625,64.53125
0778.png,105.984375,98.046875,101.1875,71.65625,63.59375,80.3125,54.203125,46.078125,83.140625,94.125,85.90625,77.453125,45.890625,50.09375,50.046875,46.359375
0020.png,111.5,158.65625,102.5,94.5625,154.28125,106.234375,90.21875,82.5,114.953125,82.28125,93.078125,78.3125,71.921875,83.625,63.96875,91.265625
0828.png,95.84375,111.984375,113.34375,80.734375,95.4375,94.828125,92.109375,81.03125,131.9375,78.015625,93.78125,67.421875,73.75,82.109375,66.15625,89.609375
0523.png,149.859375,77.828125,121.0625,94.90625,92.015625,118.5625,82.1875,89.671875,133.0625,75.8125,96.203125,95.421875,67.90625,63.875,67.84375,87.1875
0445.png,88.75,136.25,62.078125,88.171875,119.6875,75.890625,80.09375,67.421875,71.953125,67.921875,64.109375,71.859375,57.78125,57.890625,65.9375,69.390625
0415.png,144.375,117.25,87.890625,96.828125,120.640625,87.28125,92.0625,91.15625,91.53125,88.296875,75.28125,88.703125,67.890625,63.953125,60.015625,68.40625
0126.png,86.296875,145.6875,107.796875,85.4375,112.890625,103.3125,84.46875,104.34375,94.234375,97.9375,101.546875,97.53125,89.78125,82.109375,77.84375,77.859375
0608.png,148.90625,140.953125,79.421875,80.328125,116.9375,144.6875,90.40625,86.515625,106.234375,80.21875,97.390625,107.953125,63.8125,51.921875,55.921875,51.890625
0056.png,134.859375,113.34375,127.875,95.828125,101.703125,79.453125,90.0625,96.59375,123.546875,100.1875,89.9375,123.53125,103.90625,87.71875,92.078125,102.90625
0739.png,118.859375,150.234375,112.125,62.109375,142.703125,93.15625,80.0,76.546875,97.171875,66.140625,67.359375,69.09375,37.765625,37.953125,50.046875,45.421875
0484.png,118.171875,114.125,130.359375,106.4375,126.359375,111.625,102.046875,97.5,112.421875,100.40625,99.484375,107.546875,111.765625,112.0625,80.03125,107.203125
0796.png,102.125,98.640625,173.59375,104.46875,82.78125,83.640625,85.8125,84.296875,152.484375,85.71875,109.796875,112.703125,89.453125,85.875,93.921875,71.09375
0750.png,136.28125,214.8125,41.625,59.609375,167.53125,73.828125,74.296875,68.890625,52.296875,43.921875,48.59375,58.71875,49.859375,38.046875,45.984375,37.953125
0399.png,92.734375,115.546875,120.65625,84.359375,109.734375,126.421875,90.140625,109.171875,133.125,98.03125,129.0625,106.546875,107.765625,96.234375,103.953125,104.453125
0890.png,121.328125,87.796875,63.421875,78.125,98.59375,117.109375,81.828125,62.125,68.453125,92.046875,84.453125,91.03125,55.8125,52.03125,75.96875,67.75
0400.png,176.921875,69.921875,103.0625,77.921875,67.78125,83.53125,63.953125,71.890625,88.046875,92.03125,84.28125,95.90625,65.640625,53.671875,54.265625,50.59375
0659.png,124.28125,181.453125,111.015625,67.828125,167.171875,117.5,72.078125,83.34375,81.359375,85.734375,86.15625,77.875,59.859375,67.859375,63.953125,71.765625
0113.png,86.0,83.46875,121.1875,120.671875,93.125,138.5625,92.0,89.03125,124.34375,100.515625,130.046875,124.421875,119.828125,95.71875,96.078125,103.3125
0776.png,192.25,57.84375,87.046875,70.078125,51.390625,55.109375,60.328125,55.421875,83.515625,84.171875,67.703125,56.09375,61.703125,57.578125,54.5,57.921875
0443.png,73.015625,199.4375,116.8125,72.828125,121.046875,97.796875,69.90625,81.484375,61.703125,65.9375,79.96875,62.4375,45.96875,46.125,45.90625,53.59375
0014.png,144.171875,95.546875,110.546875,94.9375,102.75,104.96875,89.890625,91.546875,102.5,92.40625,106.9375,76.09375,67.71875,80.453125,84.171875,94.90625
0231.png,127.859375,108.078125,50.078125,105.71875,118.921875,105.609375,89.984375,109.9375,87.4375,81.90625,109.671875,114.1875,89.734375,70.03125,58.15625,77.8125
0153.png,130.609375,121.65625,99.78125,93.46875,125.5,98.25,98.046875,115.3125,87.6875,95.671875,78.375,110.890625,73.8125,82.390625,86.03125,70.078125
0576.png,94.625,123.453125,100.65625,63.4375,98.34375,113.703125,105.890625,102.34375,95.890625,84.4375,81.28125,76.125,63.859375,63.84375,80.015625,71.734375
0364.png,151.34375,92.59375,80.359375,64.4375,83.703125,85.5625,62.203125,70.140625,103.53125,55.890625,71.234375,75.78125,55.796875,40.046875,44.109375,32.5625
0872.png,132.5,46.625,62.390625,72.234375,57.9375,96.96875,73.9375,85.421875,67.5,68.296875,62.265625,63.921875,39.921875,43.875,35.984375,32.140625
0635.png,110.828125,122.875,88.6875,83.734375,113.921875,114.65625,74.046875,86.375,81.609375,81.75,63.6875,86.140625,59.90625,71.859375,52.234375,79.0
0420.png,93.671875,95.78125,112.796875,86.015625,86.109375,114.4375,81.921875,78.265625,101.515625,70.09375,89.703125,102.34375,71.71875,48.28125,60.0625,72.171875
0686.png,121.921875,107.34375,111.703125,54.71875,85.65625,55.109375,65.90625,54.03125,74.875,55.90625,72.703125,48.015625,43.90625,40.015625,35.828125,36.328125
0058.png,122.1875,65.640625,74.875,72.703125,105.625,141.21875,96.046875,80.25,100.0,83.953125,93.90625,73.359375,79.8125,68.078125,72.0,64.9375
0145.png,122.578125,102.0,68.09375,80.140625,90.84375,72.328125,80.171875,67.296875,71.65625,67.96875,72.109375,72.5625,71.90625,60.046875,67.84375,68.046875
0550.png,105.109375,119.953125,108.34375,120.359375,97.703125,104.03125,123.953125,96.359375,117.859375,122.109375,109.734375,121.234375,97.78125,86.140625,90.203125,113.578125
0136.png,72.28125,118.28125,105.859375,62.4375,87.9375,93.53125,80.203125,83.09375,86.0625,93.9375,78.078125,89.5625,69.8125,61.890625,54.53125,58.484375
0505.png,101.078125,100.234375,68.953125,75.71875,80.3125,121.71875,74.203125,66.546875,82.359375,82.25,74.375,70.125,83.90625,64.359375,75.765625,79.46875
0449.png,175.34375,131.296875,122.171875,86.5,100.109375,111.4375,88.125,80.21875,111.484375,87.96875,120.828125,108.578125,81.765625,74.0,66.296875,84.609375
0451.png,167.46875,131.328125,111.1875,92.5,135.578125,147.96875,94.703125,118.59375,97.921875,102.09375,122.03125,105.59375,103.796875,95.78125,96.46875,97.0
0138.png,117.25,131.359375,74.796875,61.078125,108.546875,98.609375,85.96875,81.390625,82.734375,84.203125,93.578125,79.90625,67.75,59.78125,63.96875,71.203125
0244.png,136.328125,149.75,110.921875,105.109375,114.78125,120.0,97.828125,118.265625,97.890625,101.3125,101.890625,109.421875,117.625,121.921875,105.671875,98.8125
0100.png,89.03125,97.421875,119.984375,94.15625,101.890625,64.109375,98.046875,91.0625,120.796875,67.96875,86.703125,82.765625,51.9375,40.390625,51.984375,44.40625
0531.png,175.375,98.0,106.828125,94.28125,88.171875,85.203125,59.828125,91.203125,112.125,92.078125,85.390625,75.703125,89.6875,69.9375,69.90625,77.640625
0917.png,182.765625,85.515625,92.34375,80.171875,72.15625,72.21875,75.8125,95.546875,79.90625,59.953125,79.375,63.671875,63.78125,63.90625,52.046875,48.1875
0212.png,106.234375,151.046875,101.65625,51.375,108.109375,88.953125,67.90625,80.296875,80.0625,72.03125,72.78125,67.75,59.734375,51.875,52.125,59.28125
0377.png,173.140625,56.46875,61.53125,47.90625,83.734375,128.765625,43.9375,44.390625,50.34375,50.109375,46.4375,41.96875,37.921875,49.921875,42.046875,42.296875
0387.png,94.984375,98.453125,81.953125,87.6875,110.53125,108.015625,79.90625,88.0625,92.125,87.875,110.515625,87.75,65.828125,54.15625,58.09375,54.046875
0423.png,148.765625,163.296875,101.359375,76.359375,128.21875,110.078125,74.078125,94.234375,78.125,73.640625,63.390625,74.265625,65.84375,77.953125,82.046875,58.4375
0267.png,172.90625,84.046875,65.109375,80.6875,90.875,90.546875,81.65625,102.359375,72.59375,80.140625,88.859375,95.9375,75.796875,76.171875,71.9375,83.140625
0742.png,103.046875,72.828125,117.84375,95.234375,110.921875,155.046875,56.546875,90.671875,99.21875,96.4375,95.59375,87.0625,57.890625,73.84375,69.96875,53.921875
0426.png,119.75,143.265625,115.34375,109.859375,132.484375,122.25,115.984375,112.515625,117.15625,105.75,119.625,109.265625,117.78125,117.71875,94.109375,110.328125
0476.png,106.46875,96.453125,109.328125,92.453125,89.421875,101.03125,90.53125,82.234375,101.765625,105.71875,121.578125,93.9375,68.296875,80.234375,84.1875,91.203125
0287.png,127.390625,95.0,92.078125,80.9375,87.28125,95.96875,79.59375,81.671875,104.328125,77.40625,103.140625,97.484375,73.640625,74.46875,74.046875,97.1875
0728.png,228.796875,38.640625,47.375,20.140625,25.921875,30.328125,34.234375,18.390625,30.0625,33.765625,26.015625,37.921875,15.875,23.984375,12.21875,19.8125
0787.png,122.1875,49.578125,65.59375,47.3125,41.796875,54.703125,58.078125,54.453125,54.0625,46.1875,42.296875,30.6875,41.875,61.46875,45.8125,57.703125
0865.png,101.015625,73.265625,124.953125,114.90625,89.375,128.15625,93.6875,110.03125,129.171875,114.15625,117.21875,129.828125,115.59375,96.46875,112.265625,103.6875
0910.png,105.875,114.125,106.390625,81.859375,102.328125,114.84375,92.21875,92.140625,86.578125,77.875,82.484375,81.6875,93.734375,89.953125,85.875,100.578125
0895.png,211.5625,48.546875,39.203125,38.5625,57.859375,70.78125,49.984375,54.8125,26.09375,42.0,45.015625,37.34375,37.875,33.984375,38.03125,38.75
0954.png,122.140625,95.09375,114.28125,81.953125,99.765625,129.34375,81.8125,78.484375,107.5,80.109375,102.890625,75.8125,81.765625,78.09375,69.78125,77.890625
0242.png,139.453125,133.765625,143.796875,123.921875,127.640625,140.8125,114.03125,121.03125,134.5,121.734375,122.34375,98.390625,133.734375,101.859375,122.109375,82.984375
0664.png,145.515625,98.796875,106.34375,99.21875,102.359375,100.4375,99.890625,88.0,113.265625,86.078125,103.359375,89.921875,95.703125,104.140625,96.28125,91.5
0610.png,171.953125,137.046875,112.671875,92.46875,153.4375,105.046875,102.015625,106.09375,111.203125,99.65625,110.53125,96.0625,93.703125,90.03125,78.046875,97.265625
0411.png,99.4375,82.15625,126.640625,87.65625,103.75,123.046875,74.109375,81.390625,100.734375,97.984375,72.4375,74.109375,81.828125,58.15625,53.890625,54.0625
0683.png,158.09375,116.359375,169.140625,76.140625,91.3125,104.96875,60.15625,79.515625,122.96875,76.203125,99.796875,79.921875,51.8125,67.921875,52.03125,55.328125
0141.png,151.109375,87.90625,42.234375,30.75,51.90625,51.90625,47.875,51.109375,21.90625,30.125,30.15625,30.765625,27.8125,32.0625,27.828125,28.78125
0103.png,131.265625,100.90625,96.3125,44.234375,76.03125,58.1875,51.984375,60.109375,67.96875,48.03125,56.515625,48.109375,41.796875,26.125,34.09375,41.671875
0192.png,122.90625,131.5625,86.390625,61.890625,157.171875,86.8125,63.796875,63.890625,95.65625,92.21875,104.375,76.25,46.015625,38.0,45.78125,38.53125
0829.png,164.4375,143.109375,127.9375,84.0625,140.34375,116.015625,69.96875,82.234375,109.59375,77.953125,86.15625,69.484375,49.828125,34.171875,45.9375,49.65625
0185.png,95.640625,78.953125,45.296875,67.875,49.796875,72.6875,66.046875,46.625,56.1875,67.8125,55.25,48.109375,49.921875,38.359375,45.921875,37.71875
0824.png,117.25,131.625,34.265625,44.71875,119.28125,113.625,46.203125,62.0,36.546875,40.0625,51.625,36.03125,37.90625,37.828125,30.3125,22.421875
0189.png,154.40625,101.046875,129.625,74.3125,87.390625,105.671875,67.90625,88.375,98.84375,83.859375,72.078125,71.421875,37.828125,37.96875,41.84375,38.328125
0173.png,151.859375,136.59375,130.859375,125.21875,163.0625,123.828125,99.609375,107.8125,115.1875,110.078125,111.53125,121.53125,125.4375,101.84375,102.15625,110.921875
0027.png,104.5,51.75,58.921875,75.453125,59.625,83.75,67.90625,78.9375,65.40625,66.03125,86.59375,66.28125,73.765625,69.875,53.828125,58.671875
0150.png,132.640625,113.03125,129.28125,70.203125,93.984375,110.421875,75.921875,99.703125,109.375,82.5,82.125,90.21875,69.828125,66.0,65.84375,73.953125
0207.png,194.265625,120.171875,75.90625,48.234375,116.09375,96.390625,48.09375,63.921875,42.109375,46.109375,47.828125,49.734375,41.875,38.0625,33.9375,34.0625
0129.png,111.765625,110.109375,102.46875,52.609375,85.546875,102.8125,59.9375,71.953125,73.71875,77.65625,74.359375,73.015625,61.90625,57.8125,37.921875,57.734375
0478.png,135.125,97.546875,94.859375,103.96875,107.46875,110.078125,97.921875,95.03125,118.4375,109.765625,109.9375,82.671875,103.765625,87.6875,79.984375,79.875
0823.png,197.765625,63.234375,72.703125,62.390625,59.9375,73.640625,59.578125,71.78125,58.390625,69.84375,84.546875,62.046875,61.703125,66.125,70.1875,62.109375
0127.png,49.5625,72.984375,56.890625,56.28125,53.953125,54.171875,54.09375,53.953125,65.703125,58.109375,46.203125,54.578125,39.96875,44.09375,43.9375,39.96875
0452.png,143.34375,95.09375,120.53125,125.734375,115.828125,120.765625,111.3125,131.203125,115.1875,105.71875,116.71875,98.625,109.84375,114.265625,106.515625,103.0625
0920.png,103.75,134.578125,134.046875,49.8125,77.53125,82.640625,61.4375,61.734375,85.890625,53.984375,82.125,74.140625,42.09375,49.890625,53.90625,53.953125
0657.png,128.546875,130.5625,78.53125,64.328125,97.09375,77.515625,73.984375,80.953125,73.90625,61.84375,77.265625,55.328125,58.0,46.15625,49.59375,57.953125
0927.png,73.0625,135.640625,84.96875,40.8125,101.3125,77.90625,57.703125,65.59375,40.125,44.265625,51.59375,47.484375,29.96875,42.1875,38.109375,33.34375
0597.png,113.40625,102.125,113.25,125.609375,101.46875,103.984375,134.359375,121.671875,123.734375,119.75,95.5,117.09375,107.84375,111.828125,103.875,84.375
0381.png,90.53125,114.890625,96.34375,52.71875,71.8125,75.109375,59.921875,75.25,69.8125,74.015625,78.3125,73.84375,53.875,53.984375,50.171875,47.140625
0665.png,42.359375,38.03125,28.03125,36.09375,26.046875,25.125,29.9375,41.765625,28.0625,31.984375,28.359375,32.046875,17.9375,13.9375,9.984375,14.265625
0304.png,156.953125,129.484375,125.078125,92.703125,113.65625,73.453125,74.078125,66.03125,103.671875,68.03125,92.875,71.78125,53.9375,46.078125,49.96875,46.609375
0985.png,132.125,82.4375,115.921875,80.234375,112.328125,154.734375,103.90625,75.40625,100.0625,88.0625,129.15625,100.921875,72.0,68.25,79.9375,59.59375
0950.png,85.0,73.328125,103.84375,61.453125,74.453125,93.90625,67.953125,63.609375,79.890625,76.03125,91.046875,71.71875,59.84375,51.875,47.96875,52.875
0025.png,139.109375,78.1875,71.40625,100.328125,96.9375,99.515625,88.34375,88.875,91.421875,93.71875,111.71875,125.453125,85.875,86.109375,102.015625,78.640625
0297.png,118.8125,122.96875,79.0,79.921875,112.109375,102.78125,88.3125,95.796875,76.109375,99.90625,100.703125,76.5625,75.84375,64.1875,72.09375,91.34375
0864.png,109.34375,154.421875,135.890625,58.453125,63.28125,65.796875,56.03125,56.4375,87.1875,68.125,88.15625,67.953125,23.953125,28.03125,31.96875,23.796875
0067.png,133.15625,71.421875,47.6875,58.453125,68.03125,82.796875,35.859375,52.015625,46.1875,59.875,61.09375,60.34375,53.859375,57.78125,62.15625,42.734375
0239.png,116.65625,117.765625,104.796875,99.71875,152.59375,133.125,108.03125,107.453125,123.734375,99.609375,100.0,123.046875,87.75,75.59375,60.15625,68.53125
0780.png,131.84375,128.984375,146.21875,94.9375,120.15625,123.109375,120.109375,108.953125,146.890625,117.953125,141.515625,105.75,75.78125,64.265625,76.078125,79.390625
0971.png,120.03125,181.0625,110.03125,89.65625,156.125,100.359375,97.640625,93.625,87.84375,67.890625,76.21875,71.921875,67.765625,68.015625,35.984375,52.203125
0641.png,168.390625,102.203125,73.90625,58.171875,95.90625,45.125,51.90625,59.71875,55.96875,48.25,55.984375,55.984375,45.8125,42.109375,46.03125,45.8125
0408.png,99.546875,92.046875,82.359375,65.8125,73.734375,57.953125,46.234375,46.125,74.671875,54.109375,92.734375,81.84375,51.984375,44.15625,47.9375,44.109375
0566.png,174.625,67.90625,52.765625,43.515625,65.71875,51.34375,46.03125,50.09375,48.578125,51.84375,39.03125,47.671875,37.796875,37.796875,34.078125,38.046875
0721.png,155.28125,108.0625,103.109375,70.6875,69.09375,104.171875,82.21875,62.234375,86.515625,82.109375,91.359375,69.6875,67.84375,68.171875,63.828125,68.09375
0500.png,150.28125,80.421875,138.234375,96.671875,75.46875,108.859375,78.1875,97.515625,103.421875,100.125,96.109375,99.890625,79.765625,76.09375,68.0,84.25
0225.png,113.546875,141.640625,117.625,114.046875,114.96875,104.984375,109.8125,92.8125,106.078125,116.3125,125.359375,130.109375,81.8125,98.140625,89.5,97.0
0941.png,130.734375,62.859375,73.9375,66.65625,74.859375,66.125,57.890625,61.640625,65.5625,73.78125,58.09375,50.8125,47.8125,47.953125,32.109375,40.546875
0704.png,112.296875,149.140625,89.8125,85.53125,148.390625,87.96875,93.765625,82.0625,81.6875,77.890625,58.65625,77.921875,81.703125,73.75,69.703125,62.578125
0955.png,152.8125,191.15625,50.421875,45.375,140.875,90.078125,85.921875,70.0625,42.234375,41.921875,41.78125,38.4375,23.9375,23.984375,31.9375,23.796875
0427.png,109.8125,88.171875,58.875,64.5625,78.140625,127.328125,76.0,72.3125,65.546875,49.96875,64.46875,49.796875,43.875,51.890625,43.890625,51.625
0346.png,85.078125,90.421875,112.0,61.375,69.65625,61.59375,46.140625,45.734375,96.921875,34.140625,90.921875,46.234375,17.921875,14.09375,14.109375,14.734375
0488.png,63.1875,64.4375,63.90625,44.65625,64.96875,75.890625,60.09375,44.4375,55.453125,47.96875,52.34375,40.328125,37.984375,41.96875,30.0625,26.21875
0948.png,148.875,117.59375,117.3125,78.046875,99.71875,87.859375,80.09375,103.671875,104.9375,79.90625,80.890625,91.125,71.859375,79.96875,68.046875,78.75
0002.png,46.09375,76.109375,96.984375,80.296875,73.84375,77.34375,66.15625,61.796875,70.0625,74.0625,71.921875,70.875,61.84375,54.0,50.03125,53.953125
0365.png,112.234375,162.171875,81.6875,81.734375,145.5625,100.953125,72.015625,87.828125,68.5,79.46875,60.609375,64.015625,49.84375,77.703125,57.9375,54.59375
0543.png,178.125,104.03125,106.671875,105.859375,113.0625,124.96875,99.90625,103.40625,125.578125,109.765625,128.015625,113.5,87.6875,103.859375,83.65625,80.53125
0295.png,207.75,81.484375,78.375,41.9375,71.796875,67.5,55.90625,52.609375,65.53125,62.15625,50.53125,41.9375,39.9375,39.875,44.0625,32.71875
0122.png,121.734375,103.421875,108.546875,129.90625,109.71875,138.90625,109.84375,110.703125,128.84375,113.84375,121.03125,110.234375,123.671875,95.96875,92.328125,99.96875
0178.png,115.0625,97.734375,89.390625,30.09375,65.703125,66.53125,49.96875,50.09375,47.828125,40.0625,43.796875,39.828125,29.9375,26.171875,29.953125,22.234375
0385.png,91.8125,87.78125,85.109375,74.84375,96.640625,103.984375,72.21875,71.953125,83.75,71.984375,98.09375,95.96875,77.75,66.046875,61.96875,74.171875
0441.png,111.640625,101.578125,82.125,76.6875,95.515625,107.734375,71.953125,91.3125,78.15625,85.78125,101.234375,73.8125,55.8125,71.828125,63.828125,64.484375
0096.png,145.71875,66.75,84.34375,84.109375,90.28125,117.53125,102.0,89.78125,91.84375,76.0,83.796875,76.265625,65.796875,50.078125,50.0,46.390625
0912.png,160.484375,119.21875,65.4375,83.171875,96.734375,73.1875,60.171875,72.765625,72.078125,73.734375,83.46875,81.515625,63.6875,56.1875,67.828125,67.5625
0756.png,104.15625,109.0,122.4375,119.265625,107.203125,125.6875,85.890625,101.4375,103.453125,87.8125,111.65625,91.640625,89.765625,77.90625,74.03125,81.859375
0450.png,156.171875,77.1875,75.296875,74.03125,82.3125,82.421875,66.296875,81.0625,65.640625,70.15625,89.6875,78.0625,73.890625,82.390625,69.78125,67.078125
0496.png,117.390625,106.015625,113.875,102.515625,111.625,113.4375,78.375,94.109375,121.21875,86.125,86.0625,101.53125,63.8125,67.796875,60.140625,67.875
0735.png,134.203125,100.453125,169.890625,119.765625,88.328125,115.40625,98.515625,141.59375,148.53125,124.4375,108.34375,123.15625,101.75,77.625,81.9375,93.828125
0208.png,130.046875,98.8125,51.609375,59.578125,105.984375,70.296875,37.921875,62.15625,38.0,37.890625,30.25,33.703125,33.890625,33.96875,26.140625,26.15625
0643.png,139.234375,116.90625,89.109375,88.484375,102.1875,110.453125,81.953125,90.421875,77.59375,62.25,93.375,69.96875,73.78125,73.5625,70.296875,88.875
0447.png,100.609375,132.359375,126.0625,121.15625,118.59375,108.34375,114.03125,107.671875,129.3125,110.5,119.453125,109.984375,109.890625,113.9375,105.59375,124.546875
0312.png,135.71875,86.84375,75.078125,71.09375,103.9375,99.125,80.203125,91.484375,83.484375,75.953125,79.796875,64.578125,67.828125,59.53125,56.15625,67.546875
0302.png,186.546875,161.46875,101.15625,91.328125,143.140625,110.421875,87.859375,84.109375,89.59375,70.203125,100.203125,85.90625,63.859375,71.765625,76.078125,60.96875
0713.png,158.75,206.53125,60.9375,64.234375,166.140625,96.53125,67.78125,72.265625,66.03125,50.03125,57.703125,62.125,41.953125,38.203125,38.234375,42.171875
0860.png,131.515625,99.609375,76.8125,103.875,102.5625,127.375,88.09375,64.453125,81.171875,91.65625,80.0,83.8125,89.875,70.15625,58.03125,81.953125
0648.png,145.5625,87.09375,148.421875,105.015625,86.78125,100.734375,93.84375,93.015625,115.984375,92.203125,100.609375,111.796875,83.765625,64.15625,76.171875,71.828125
0309.png,114.578125,115.734375,125.96875,88.53125,130.265625,116.75,97.78125,85.59375,125.921875,97.390625,103.1875,105.90625,85.828125,73.9375,85.5625,78.6875
0357.png,163.75,77.0,78.046875,49.390625,66.796875,75.46875,62.09375,82.171875,65.671875,61.96875,52.640625,65.609375,58.015625,61.953125,46.40625,43.6875
0009.png,42.3125,33.59375,47.765625,20.0625,60.453125,71.578125,40.171875,40.0625,21.484375,26.0,33.65625,29.96875,15.984375,16.109375,16.078125,24.265625
0554.png,130.515625,132.609375,110.5,96.046875,138.078125,111.265625,113.984375,97.78125,127.84375,120.28125,102.25,116.125,111.625,107.625,87.96875,107.03125
0680.png,153.859375,65.828125,109.234375,48.625,50.390625,74.984375,45.953125,50.703125,74.578125,53.890625,96.953125,62.59375,55.984375,48.0625,48.0,51.734375
0467.png,114.65625,121.859375,117.328125,102.59375,117.703125,130.671875,94.3125,87.40625,115.359375,92.09375,118.640625,96.46875,107.765625,96.015625,88.0625,99.6875
0016.png,146.015625,75.765625,84.953125,99.421875,102.0,126.34375,86.09375,94.125,115.546875,88.15625,116.03125,92.390625,77.796875,81.9375,86.0,81.796875
0114.png,144.828125,112.71875,125.15625,81.921875,88.03125,118.921875,86.015625,82.3125,103.1875,92.328125,101.828125,96.59375,85.859375,74.0,66.234375,59.046875
0124.png,153.515625,98.0,120.5625,133.125,93.640625,108.671875,88.234375,119.625,121.390625,102.0625,122.96875,106.890625,111.75,99.875,99.953125,104.453125
0575.png,168.171875,114.9375,81.671875,90.0,129.21875,118.609375,98.1875,106.171875,111.6875,105.78125,120.484375,102.390625,81.765625,73.84375,69.921875,62.453125
0264.png,112.3125,54.078125,68.84375,48.625,44.296875,79.390625,36.0,28.40625,44.03125,51.890625,51.703125,43.609375,12.0,12.015625,11.96875,12.015625
0440.png,133.625,153.6875,131.65625,64.140625,117.609375,92.734375,84.09375,72.3125,93.234375,66.171875,74.0,70.328125,55.765625,60.109375,59.890625,60.03125
0583.png,111.5625,128.609375,62.609375,70.40625,104.6875,83.8125,80.0,87.34375,58.015625,58.046875,54.609375,50.359375,45.796875,42.078125,30.015625,30.40625
0298.png,107.5,94.1875,54.875,42.421875,54.5625,49.984375,46.09375,53.34375,51.765625,52.03125,64.3125,44.5625,43.921875,35.8125,44.03125,33.375
0904.png,193.828125,60.046875,43.25,37.3125,39.875,54.90625,40.40625,40.09375,37.734375,37.875,56.75,49.390625,29.9375,37.984375,37.59375,45.375
0979.png,177.828125,106.4375,108.546875,78.84375,103.3125,100.125,83.6875,99.8125,113.875,93.75,101.515625,102.5625,79.9375,84.4375,80.09375,100.34375
0326.png,238.65625,91.28125,28.140625,15.921875,21.859375,25.71875,21.984375,21.921875,57.8125,50.1875,46.96875,53.625,15.9375,15.921875,16.125,19.765625
0705.png,146.875,79.140625,72.84375,56.0625,59.953125,56.65625,48.046875,63.21875,66.046875,62.015625,72.890625,57.375,57.796875,54.046875,53.765625,65.84375
0203.png,99.390625,87.984375,113.140625,92.59375,103.765625,94.828125,96.15625,87.3125,113.28125,88.203125,107.046875,101.078125,101.828125,82.1875,98.0625,94.09375
0992.png,101.59375,133.984375,109.84375,50.296875,110.78125,132.625,56.015625,56.484375,99.625,59.9375,78.96875,60.046875,33.875,41.984375,34.03125,46.09375
0363.png,105.28125,118.171875,107.4375,95.71875,109.390625,122.265625,99.9375,96.28125,100.65625,108.1875,107.53125,103.78125,93.734375,86.03125,78.359375,80.8125
0645.png,100.796875,71.375,84.546875,72.6875,114.09375,122.921875,83.984375,80.640625,83.6875,71.859375,72.625,72.09375,73.75,58.265625,58.046875,50.046875
0181.png,119.203125,105.0625,95.109375,83.3125,86.171875,85.609375,81.953125,68.265625,93.578125,82.25,66.203125,67.578125,67.921875,64.5,72.125,69.078125
